stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
100127,Yates St at Cook St,48.42525,-123.35472,0,100127
100128,Cook St at Fort St,48.42361,-123.35392,0,100128
100129,Pandora Ave at Quadra St,48.42753,-123.35817,0,100129
100130,May St at Cook St,48.41225,-123.35709,0,100130
100131,May St at Cook St,48.41212,-123.35695,0,100131
100132,Douglas St at Discovery St,48.43232,-123.3647,0,100132
100133,Quadra St at Balmoral Rd,48.42924,-123.35873,0,100133
100134,Esquimalt Rd at Sitkum Rd,48.43013,-123.38048,0,100134
100135,Quadra St at North Park St,48.42962,-123.3589,0,100135
100136,Metchosin Rd at Kenning Crt,48.41456,-123.48329,0,100136
100137,Fairfield Rd at Linden Ave,48.41711,-123.35249,0,100137
100138,Richardson St at Linden Ave,48.41936,-123.35185,0,100138
100139,Richardson St at Linden Ave,48.41917,-123.35118,0,100139
100141,Fairfield Rd at Linden Ave,48.41674,-123.35186,0,100141
100144,Cook St at Johnson St,48.42623,-123.35331,0,100144
100145,Quadra St at Caledonia Ave,48.43054,-123.35876,0,100145
100146,Douglas St at Discovery St,48.43218,-123.36449,0,100146
100147,Quadra St at Caledonia Ave,48.43059,-123.35854,0,100147
100148,Esquimalt Rd at Catherine St,48.43047,-123.38525,0,100148
100149,Tyee Rd at Wilson St,48.43103,-123.37872,0,100149
100150,Pandora Ave at Cook St,48.42725,-123.35385,0,100150
100151,Wilson St at Tyee Rd,48.43148,-123.3793,0,100151
100152,Bay St at Wilson St,48.43262,-123.38278,0,100152
100153,Fort St at Linden Ave,48.42294,-123.35025,0,100153
100154,Metchosin Rd at Kenning Crt,48.41394,-123.48358,0,100154
100155,May St at Linden Ave,48.41188,-123.35373,0,100155
100156,May St at Linden Ave,48.41181,-123.354,0,100156
100157,Swartz Bay Ferry Terminal Bay B,48.68799,-123.41227,0,100157
100158,Westhills Exch (Langford Pky) Bay F,48.44501,-123.53375,0,100158
100159,Johnson St at Chambers St,48.42559,-123.35024,0,100159
100160,Cook St at Balmoral Rd,48.42873,-123.35301,0,100160
100161,Esquimalt Rd at Catherine St,48.43032,-123.38311,0,100161
100162,Fairfield Rd at Moss St,48.41555,-123.34939,0,100162
100163,May St at Wellington Ave,48.41155,-123.35156,0,100163
100165,Yates St at Ormond St,48.42468,-123.34889,0,100165
100166,Quadra St at Princess Ave,48.43283,-123.35846,0,100166
100167,Richardson St at Moss St,48.41878,-123.34758,0,100167
100168,Linden Ave at Faithful St,48.40976,-123.35381,0,100168
100169,Pandora Ave at Chambers St,48.42714,-123.35007,0,100169
100170,Bay St at Turner St,48.43484,-123.37541,0,100170
100171,Quadra St at Princess Ave,48.43342,-123.35819,0,100171
100172,Cook St at Caledonia Ave,48.43023,-123.35301,0,100172
100173,Wilson St at Bay St,48.43281,-123.38275,0,100173
100174,Richardson St at Moss St,48.41887,-123.34713,0,100174
100175,Bay St at Turner St,48.43507,-123.3749,0,100175
100176,Wilson St at Bay St,48.43294,-123.38282,0,100176
100177,Douglas St at Bay St,48.4353,-123.36533,0,100177
100178,Douglas St at Bay St,48.43469,-123.36477,0,100178
100179,Cook St at Caledonia Ave,48.4307,-123.35273,0,100179
100180,Bay St at Rock Bay Ave,48.43582,-123.36935,0,100180
100181,Johnson St at Camosun St,48.42546,-123.34788,0,100181
100182,Tyee Rd at Bay St,48.43436,-123.38137,0,100182
100183,Bay St at Rock Bay Ave,48.43592,-123.36848,0,100183
100184,May St at Moss St,48.41147,-123.35013,0,100184
100185,Bay St at Douglas St,48.4358,-123.366,0,100185
100186,Tyee Rd at Bay St,48.43413,-123.38135,0,100186
100188,Wilson St at Mary St,48.43282,-123.38556,0,100188
100189,Wilson St at Mary St,48.43295,-123.3858,0,100189
100190,May St at Moss St,48.41131,-123.34942,0,100190
100191,Yates St at Fernwood Rd,48.42461,-123.34628,0,100191
100192,Dallas Rd at Wellington Ave,48.40717,-123.35368,0,100192
100193,Quadra St at Bay St,48.43503,-123.35816,0,100193
100194,Fernwood Rd at Yates St,48.42408,-123.34548,0,100194
100195,Douglas St at Gorge Rd E / Hillside Ave,48.43868,-123.36729,0,100195
100196,Cook St at Princess Ave,48.43256,-123.35272,0,100196
100197,Esquimalt Rd at Maitland St,48.43062,-123.38981,0,100197
100198,Douglas St at Kings Rd,48.43707,-123.36611,0,100198
100199,Richardson St at Kipling St,48.41662,-123.34442,0,100199
100200,May St at Olive St,48.41126,-123.34805,0,100200
100201,May St at Joseph St,48.41114,-123.34785,0,100201
100202,Richardson St at Kipling St,48.41675,-123.34437,0,100202
100203,Fernwood Rd at Johnson St,48.42577,-123.34536,0,100203
100204,Esquimalt Rd at Dalton St,48.43085,-123.39026,0,100204
100205,Fairfield Rd at Kipling St,48.414,-123.34565,0,100205
100206,Cook St at Princess Ave,48.43302,-123.35245,0,100206
100207,Fernwood Rd at Johnson St,48.42585,-123.34554,0,100207
100208,Quadra St at Bay St,48.43558,-123.358,0,100208
100209,Pandora Ave at Fernwood Rd,48.42692,-123.34588,0,100209
100210,Fairfield Rd at Kipling St,48.41368,-123.34553,0,100210
100211,Johnson St at Fernwood Rd,48.4254,-123.34499,0,100211
100212,Fort St at Elford St,48.42494,-123.34131,0,100212
100213,George St at Moss St,48.40818,-123.35031,0,100213
100214,Fernwood Rd at Pandora Ave,48.42722,-123.34526,0,100214
100215,Skinner St at Catherine St,48.43552,-123.38442,0,100215
100218,Gorge Rd E at Government St,48.43855,-123.36811,0,100218
100219,Skinner St at Catherine St,48.43566,-123.38535,0,100219
100220,Hillside Ave at Douglas St,48.4386,-123.3658,0,100220
100221,Moss St at Dallas Rd,48.40635,-123.35114,0,100221
100222,May St at Eberts St,48.41091,-123.34585,0,100222
100223,Gorge Rd E at Government St,48.43875,-123.36821,0,100223
100224,Fort St at Stanley Ave,48.42461,-123.34276,0,100224
100225,Wilson St at Dalton St,48.43253,-123.39122,0,100225
100226,Cook St at Bay St,48.4346,-123.35245,0,100226
100227,Fernwood Rd at Grant St,48.42887,-123.34519,0,100227
100228,Johnson St at Stanley Ave,48.42585,-123.34319,0,100228
100229,Wilson St at Dalton St,48.43267,-123.39122,0,100229
100230,Bushby St at Joseph St,48.40836,-123.34788,0,100230
100231,Esquimalt Rd at Barnard Ave,48.43131,-123.39323,0,100231
100232,Eberts St at Bushby St,48.40911,-123.34669,0,100232
100233,Quadra St at Kings Rd,48.43767,-123.35881,0,100233
100234,Quadra St at Kings Rd,48.43791,-123.35863,0,100234
100235,Cook St at Bay St,48.43522,-123.35218,0,100235
100236,Fairfield Rd at Memorial Cres,48.41231,-123.34341,0,100236
100237,Hillside Ave at Blanshard St,48.43897,-123.36241,0,100237
100238,Memorial Cres at May St,48.41155,-123.34387,0,100238
100240,Fernwood Rd at Gladstone St,48.43027,-123.34526,0,100240
100241,Fairfield Rd at Memorial Cres,48.41215,-123.34342,0,100241
100242,Esquimalt Rd at Dominion Rd,48.43176,-123.39407,0,100242
100243,Memorial Cres at Fairfield Rd,48.41182,-123.34345,0,100243
100244,Richardson St at Arnold Ave,48.41639,-123.3412,0,100244
100245,Fernwood Rd at Gladstone St,48.43067,-123.34505,0,100245
100246,Gorge Rd E at Rock Bay Ave,48.43973,-123.37077,0,100246
100247,Strandlund Ave at Peatt Rd,48.45566,-123.49629,0,100247
100248,Pandora Ave at Begbie St,48.4268,-123.34216,0,100248
100249,Richardson St at Stannard Ave,48.41619,-123.34043,0,100249
100250,Cook St at Haultain St,48.43615,-123.35229,0,100250
